trans_id,trans_agg_01_tp,trans_agg_02_tp,eur_trans_am,trans_dt,trans_status_de,paym_sett_tp,debtor_cntp_id,debtor_country_cd,debtor_deal_id,debtor_deal_branch_cd,debtor_deal_reg_tp,creditor_cntp_id,creditor_country_cd,creditor_deal_id,creditor_deal_branch_cd,creditor_deal_reg_tp
BT0405_INC,JGF,DOMESTIC BANK TRANSFER,2537104.38,2025-02-26,PAID,OTH pay BAZ,99999999,CZ,999999,99999,99999,0000000000000405,CZ,2112168640,0SW06,592
BT0405_OUT,JGF,DOMESTIC BANK TRANSFER,1524695.26,2025-03-15,PAID,BAZ pay OTH,0000000000000405,CZ,2112168640,0SW06,592,99999999,CZ,999999,99999,99999
BT1458_INC,JGF,DOMESTIC BANK TRANSFER,570590448.31,2025-01-10,PAID,OTH pay BAZ,99999999,CZ,999999,99999,99999,0000000000001458,CZ,1059024028,0ICM1,592
BT1458_OUT1,G12,CROSS BOARDER WIRE TRANSFER,17284312.27,2025-04-12,PAID,BAZ pay OTH,0000000000001458,CZ,4444444444,0SW06,244,99999999,BY,999999,99999,99999
BT1458_OUT2,JGF,DOMESTIC BANK TRANSFER,517036936.61,2025-06-15,PAID,BAZ pay OTH,0000000000001458,CZ,4444444444,0SW06,244,99999999,CZ,999999,99999,99999
BT1458_OUT3,G12,CROSS BOARDER WIRE TRANSFER,1755.00,2025-07-22,PAID,BAZ pay OTH,0000000000001458,CZ,4444444444,0SW06,244,99999999,PL,999999,99999,99999
BT1458_OUT4,G12,CROSS BOARDER WIRE TRANSFER,269417603.38,2025-11-20,PAID,BAZ pay OTH,0000000000001458,CZ,4444444444,0SW06,244,99999999,UA,999999,99999,99999
BT2428_INC,JGF,DOMESTIC BANK TRANSFER,837229.34,2025-05-10,PAID,OTH pay BAZ,99999999,CZ,999999,99999,99999,0000000000002428,CZ,6861032001,0M003,593
BT2428_OUT,JGF,DOMESTIC BANK TRANSFER,234341.84,2025-06-12,PAID,BAZ pay OTH,0000000000002428,CZ,6861032001,0M003,593,99999999,CZ,999999,99999,99999
BT3688_INC,JGF,DOMESTIC BANK TRANSFER,18535.93,2025-04-08,PAID,OTH pay BAZ,99999999,CZ,999999,99999,99999,0000000000003688,CZ,2102063028,0MC02,592
BT3688_OUT,JGF,DOMESTIC BANK TRANSFER,10155.86,2025-04-18,PAID,BAZ pay OTH,0000000000003688,CZ,2102063028,0MC02,592,99999999,CZ,999999,99999,99999
BT4381_INC,JGF,DOMESTIC BANK TRANSFER,7288968.08,2025-11-27,PAID,OTH pay BAZ,99999999,CZ,999999,99999,99999,0000000000004381,CZ,2108545335,0HEOF,601
BT4381_OUT,JGF,DOMESTIC BANK TRANSFER,7593866.77,2025-12-30,PAID,BAZ pay OTH,0000000000004381,CZ,2108545335,0HEOF,601,99999999,CZ,999999,99999,99999
BT4492_INC,JGF,DOMESTIC BANK TRANSFER,83150.71,2025-11-27,PAID,OTH pay BAZ,99999999,CZ,999999,99999,99999,0000000000004492,CZ,2106578539,0HEOF,592
BT4492_OUT,JGF,DOMESTIC BANK TRANSFER,96478.45,2025-12-30,PAID,BAZ pay OTH,0000000000004492,CZ,2106578539,0HEOF,592,99999999,CZ,999999,99999,99999
